,Date,AT_avg,CO_avg,NH3_avg,NO_avg,NO2_avg,NOx_avg,Ozone_avg,PM2.5_avg,PM10_avg,RH_avg,SO2_avg,SR_avg,Temp_avg,WS_avg,Confirmed,Recovered,Deceased
0,2020-05-01,26.606,0.684,8.416,3.778,13.208,13.052,43.954,25.827,67.451,58.381,6.416,192.485,25.02,1.305,141.0,69.0,5.0
1,2020-05-02,26.796,0.844,7.339,4.69,15.474,14.462,40.394,21.381,61.201,59.176,10.133,153.482,24.717,1.31,145.0,71.0,6.0
2,2020-05-03,26.479,0.857,6.956,3.714,17.244,16.187,37.014,25.572,65.91,58.078,5.869,182.545,24.795,1.195,149.0,72.0,6.0
3,2020-05-04,26.6,0.826,6.781,3.63,19.077,17.086,40.14,27.445,76.532,51.607,6.513,182.722,24.383,1.288,150.0,75.0,6.0
4,2020-05-05,27.403,0.844,7.542,3.838,18.054,16.528,40.18,30.041,86.65,51.375,6.732,177.397,24.456,1.325,153.0,75.0,6.0
5,2020-05-06,26.825,0.936,8.368,3.306,17.166,15.498,36.777,25.001,70.778,58.28,6.418,181.03,24.99,1.34,155.0,75.0,6.0
6,2020-05-07,26.848,0.941,9.57,4.511,18.351,16.981,34.075,28.865,76.041,61.844,5.731,107.218,24.507,1.298,156.0,77.0,6.0
7,2020-05-08,26.888,0.804,8.071,3.812,17.524,16.191,30.106,19.88,61.748,61.634,6.573,174.762,24.631,1.292,163.0,84.0,6.0
8,2020-05-09,27.677,0.787,8.214,3.803,14.924,14.736,33.321,24.846,70.01,57.092,6.779,183.592,24.781,1.393,175.0,86.0,6.0
9,2020-05-10,28.445,0.821,8.451,3.686,14.624,14.148,35.286,25.826,66.604,51.886,5.931,184.405,24.856,1.43,177.0,86.0,7.0
10,2020-05-11,28.092,0.868,8.563,3.526,13.723,13.454,35.201,22.639,74.251,50.223,6.917,146.615,25.402,1.182,178.0,91.0,7.0
11,2020-05-12,27.655,0.749,8.32,3.773,14.072,13.828,27.592,15.015,72.686,54.095,5.961,158.282,25.207,1.263,182.0,91.0,7.0
12,2020-05-13,27.412,0.821,8.699,3.628,13.994,13.808,27.07,15.82,54.823,56.34,6.072,167.478,25.278,1.31,184.0,95.0,7.0
13,2020-05-14,28.214,0.751,9.025,4.083,15.439,14.581,32.529,24.151,66.379,54.407,5.886,182.092,25.435,1.248,189.0,97.0,7.0
14,2020-05-15,28.508,0.922,8.511,4.099,16.678,15.736,26.935,17.154,58.259,52.76,7.074,177.152,25.245,1.202,202.0,101.0,7.0
15,2020-05-16,27.741,1.009,9.22,4.017,19.569,18.233,33.075,23.998,69.485,55.725,6.924,133.228,25.273,1.228,216.0,115.0,7.0
16,2020-05-17,27.807,0.707,9.368,3.056,12.934,12.148,36.38,20.236,72.054,57.934,7.08,180.0,25.278,1.345,216.0,122.0,7.0
17,2020-05-18,25.258,0.791,9.346,6.454,12.687,11.695,34.539,17.064,61.618,72.009,5.813,162.215,25.243,1.61,240.0,122.0,7.0
18,2020-05-19,26.474,0.714,9.156,4.211,14.102,14.64,29.394,23.846,88.586,65.379,5.517,163.285,25.255,1.762,246.0,123.0,8.0
19,2020-05-20,26.924,0.699,8.5,4.463,15.155,15.523,27.479,18.776,70.029,60.222,5.933,183.78,25.607,1.663,250.0,124.0,9.0
20,2020-05-21,26.716,0.744,8.477,4.519,15.931,16.145,30.202,21.276,69.84,61.548,5.728,190.087,25.34,1.545,258.0,124.0,9.0
21,2020-05-22,26.907,0.767,8.549,4.639,15.762,15.77,34.927,19.799,63.765,60.625,5.419,149.72,25.25,1.56,263.0,130.0,9.0
