,Date,New Confirmed,New Recovered,New Deceased,PM2.5,NO,NO2,NOx,SO2,CO
0,2020-05-01,8,8,0,25.83,3.14,13.21,13.82,6.42,0.67
1,2020-05-02,6,2,1,21.38,4.05,15.47,15.38,10.13,0.81
2,2020-05-03,5,1,0,25.57,3.07,17.24,17.29,5.87,0.83
3,2020-05-04,4,3,0,27.44,3.0,19.08,18.24,6.51,0.81
4,2020-05-05,3,0,0,30.04,3.27,18.05,17.59,6.73,0.82
5,2020-05-06,2,0,0,25.0,2.67,17.17,16.49,6.42,0.9
6,2020-05-07,3,2,0,28.86,3.9,18.35,18.11,5.73,0.91
7,2020-05-08,14,7,0,19.88,3.29,17.52,17.28,6.57,0.79
8,2020-05-09,14,2,0,24.85,3.22,14.92,15.56,6.78,0.76
9,2020-05-10,2,0,1,25.83,3.04,14.62,14.96,5.93,0.78
10,2020-05-11,6,5,0,22.64,2.88,13.72,14.16,6.92,0.82
11,2020-05-12,4,0,0,15.01,3.12,14.07,14.59,5.96,0.72
12,2020-05-13,6,4,0,15.82,3.08,13.99,14.59,6.07,0.79
13,2020-05-14,7,2,0,24.15,3.49,15.44,15.4,5.89,0.73
14,2020-05-15,17,4,0,17.15,4.05,16.68,16.51,7.07,0.88
15,2020-05-16,28,14,0,24.0,4.08,19.57,19.28,6.92,1.0
16,2020-05-17,7,7,0,20.24,2.87,12.93,12.67,7.08,0.71
17,2020-05-18,24,0,0,17.06,6.34,12.69,12.15,5.81,0.79
18,2020-05-19,7,1,1,23.85,4.24,14.1,15.45,5.52,0.71
19,2020-05-20,5,1,1,18.78,4.54,15.16,16.4,5.93,0.69
20,2020-05-21,8,0,0,21.28,4.54,15.93,16.99,5.73,0.73
21,2020-05-22,21,11,5,19.8,4.55,15.76,16.67,5.42,0.75
22,2020-05-23,4,0,1,21.41,3.89,15.9,16.14,6.17,0.69
23,2020-05-24,1,0,0,20.63,3.76,14.4,14.59,5.7,0.58
24,2020-05-25,27,19,0,22.56,4.25,17.44,17.5,5.71,0.67
25,2020-05-26,2,0,0,23.08,4.44,17.14,17.36,6.24,0.71
26,2020-05-27,12,4,2,22.75,4.88,18.59,18.76,5.96,0.83
27,2020-05-28,9,0,0,27.22,4.66,15.62,16.71,6.22,0.63
28,2020-05-29,14,1,1,19.95,5.05,17.62,17.98,6.15,0.72
29,2020-05-30,56,22,1,15.9,4.42,16.57,17.65,6.18,0.69
30,2020-05-31,80,59,0,22.0,3.53,13.14,13.77,7.02,0.83
31,2020-06-01,36,12,1,9.53,3.77,12.42,13.54,6.74,0.64
32,2020-06-02,18,3,3,11.62,4.3,12.15,14.58,6.3,0.57
33,2020-06-03,41,20,1,13.33,4.59,11.91,13.63,6.97,0.66
34,2020-06-04,9,0,2,13.53,8.83,12.57,15.07,6.94,0.63
35,2020-06-05,43,21,12,23.93,4.3,19.17,19.68,7.04,0.63
36,2020-06-06,23,5,0,20.33,12.31,15.61,14.96,6.8,0.56
37,2020-06-07,55,27,7,20.06,4.25,13.81,14.84,7.02,0.56
38,2020-06-08,18,0,3,22.1,5.24,16.28,17.78,6.7,0.66
39,2020-06-09,29,0,1,23.71,4.97,15.94,17.3,7.22,0.63
40,2020-06-10,42,0,2,25.86,11.88,16.2,18.32,6.84,0.65
41,2020-06-11,20,2,3,18.78,6.04,14.86,17.49,6.89,0.66
42,2020-06-12,36,0,4,19.34,5.83,14.5,17.18,6.89,0.63
43,2020-06-13,31,0,2,19.34,5.3,14.5,16.52,7.16,0.75
44,2020-06-14,72,29,4,18.92,4.9,12.37,14.97,6.9,0.56
45,2020-06-15,37,2,1,21.66,5.37,13.41,16.21,7.65,0.63
46,2020-06-16,79,32,5,19.38,5.13,13.18,15.72,7.12,0.59
47,2020-06-17,66,10,6,20.75,5.72,13.92,16.42,7.27,0.64
48,2020-06-18,31,14,8,29.49,5.56,14.1,16.67,7.26,0.73
49,2020-06-19,154,12,11,23.48,5.37,14.36,16.97,6.99,0.65
