,Date,AT_avg,CO_avg,NH3_avg,NO_avg,NO2_avg,NOx_avg,Ozone_avg,PM2.5_avg,PM10_avg,RH_avg,SO2_avg,SR_avg,Temp_avg,WS_avg,Confirmed,Recovered,Deceased
0,2020-05-01,30.756,0.689,21.396,3.631,8.25,8.83,33.719,22.495,65.136,70.648,6.165,198.656,28.831,1.989,1086.0,222.0,16.0
1,2020-05-02,30.734,0.667,21.075,3.576,7.632,8.13,31.982,21.83,65.136,71.057,6.067,191.48,28.803,1.886,1260.0,223.0,17.0
2,2020-05-03,30.704,0.696,21.036,3.713,7.416,8.025,31.536,20.879,65.136,70.732,6.355,199.067,28.799,1.871,1463.0,250.0,17.0
3,2020-05-04,30.687,0.669,21.687,3.597,7.3,7.602,29.58,18.783,65.136,70.627,6.107,185.77,28.747,2.183,1729.0,267.0,18.0
4,2020-05-05,30.721,0.7,21.257,3.805,7.7,8.3,30.46,26.092,65.136,70.853,5.87,200.275,28.793,3.586,2007.0,319.0,20.0
5,2020-05-06,30.66,0.662,23.13,3.683,8.375,9.019,32.078,20.317,65.136,70.872,7.632,186.487,28.733,2.79,2331.0,330.0,22.0
6,2020-05-07,30.789,0.702,22.237,3.58,8.24,8.707,30.65,20.719,65.136,70.754,5.929,177.93,28.871,2.518,2647.0,339.0,23.0
7,2020-05-08,30.876,0.675,21.096,3.496,8.163,8.535,32.613,21.148,65.136,70.382,6.41,178.453,28.937,2.483,3046.0,374.0,25.0
8,2020-05-09,30.811,0.662,20.92,3.436,7.833,8.187,30.275,20.155,65.136,70.788,5.709,207.45,28.867,2.423,3325.0,545.0,28.0
9,2020-05-10,30.729,0.679,20.867,3.978,8.112,8.969,31.618,20.094,65.136,70.753,5.969,205.897,28.847,2.601,3834.0,639.0,29.0
10,2020-05-11,30.712,0.675,20.687,3.883,8.226,9.079,29.528,19.324,65.136,65.956,6.362,187.323,28.815,2.625,4372.0,706.0,33.0
11,2020-05-12,30.686,0.68,20.532,3.955,8.285,9.196,31.108,19.58,65.136,68.227,6.3,176.356,28.727,2.589,4882.0,749.0,40.0
12,2020-05-13,30.667,0.635,21.202,3.645,8.145,8.681,30.393,24.738,65.136,65.766,6.099,201.777,28.717,2.529,5262.0,749.0,43.0
13,2020-05-14,30.732,0.676,22.353,4.516,9.291,10.704,32.683,19.602,65.136,64.538,6.219,193.566,28.841,2.348,5637.0,758.0,45.0
14,2020-05-15,30.77,0.746,24.975,7.175,10.748,14.829,30.113,25.584,65.136,64.934,6.107,192.668,28.903,2.644,5947.0,783.0,49.0
15,2020-05-16,30.789,0.74,25.893,5.522,8.305,10.625,29.013,29.44,65.136,67.443,6.315,167.862,28.921,2.851,6279.0,1202.0,52.0
