,Date,AT_avg,CO_avg,NH3_avg,NO_avg,NO2_avg,NOx_avg,Ozone_avg,PM2.5_avg,PM10_avg,RH_avg,SO2_avg,SR_avg,Temp_avg,WS_avg,Confirmed,Recovered,Deceased
0,2020-05-01,30.819,0.958,39.815,14.783,21.294,25.165,51.297,64.836,156.958,52.783,16.083,167.682,27.545,1.237,3738.0,1167.0,61.0
1,2020-05-02,29.737,0.867,37.919,17.376,20.241,28.622,52.983,43.953,132.42,52.792,13.203,179.619,27.681,1.991,4122.0,1256.0,64.0
2,2020-05-03,27.945,0.828,36.544,17.301,21.705,29.889,43.834,43.489,116.553,59.577,11.907,127.585,25.491,1.627,4549.0,1362.0,64.0
3,2020-05-04,27.933,0.862,35.579,17.664,22.474,28.178,45.313,41.615,108.575,57.362,12.177,188.614,25.334,1.081,4898.0,1431.0,64.0
4,2020-05-05,29.735,0.962,35.253,19.28,25.861,31.802,46.747,65.745,145.705,49.79,14.963,192.195,28.092,1.028,5104.0,1468.0,64.0
5,2020-05-06,29.384,0.992,34.089,17.088,25.802,30.448,49.28,65.058,179.508,46.438,14.997,145.897,26.87,1.127,5532.0,1542.0,65.0
6,2020-05-07,29.677,0.843,31.156,15.561,22.382,26.489,63.12,46.205,121.658,42.639,13.132,202.071,27.017,1.288,5980.0,1931.0,66.0
7,2020-05-08,31.259,0.887,33.1,16.22,24.373,27.971,64.481,58.459,148.942,45.17,13.623,191.312,28.995,1.075,6318.0,2020.0,68.0
8,2020-05-09,32.363,0.896,34.923,17.83,23.534,30.966,66.482,61.867,146.653,46.292,13.247,178.152,29.937,1.266,6542.0,2020.0,68.0
9,2020-05-10,28.26,0.834,33.799,12.248,23.68,24.885,52.154,56.013,135.087,53.823,12.259,108.613,25.788,1.682,6923.0,2069.0,73.0
10,2020-05-11,29.049,0.85,33.204,9.795,23.546,21.442,55.507,54.974,130.341,54.68,12.823,172.393,26.202,1.488,7233.0,2129.0,73.0
11,2020-05-12,30.297,0.884,34.006,10.454,22.311,21.086,54.952,52.042,125.091,50.618,14.132,170.579,27.77,1.218,7639.0,2512.0,86.0
12,2020-05-13,29.939,0.97,36.186,9.322,25.097,22.273,45.216,72.259,171.399,53.112,14.68,118.661,27.462,0.886,7998.0,2858.0,106.0
13,2020-05-14,30.199,0.951,34.578,12.644,27.012,26.605,44.702,60.769,144.494,53.704,12.755,181.562,27.862,1.074,8470.0,3045.0,115.0
14,2020-05-15,31.099,0.918,32.087,8.292,25.01,21.579,47.828,56.604,131.1,43.367,14.17,196.115,28.642,1.47,8895.0,3518.0,123.0
15,2020-05-16,31.76,1.012,31.235,8.037,26.815,22.447,55.653,80.985,162.39,38.564,15.504,207.88,29.501,1.339,9333.0,3926.0,129.0
16,2020-05-17,32.058,1.097,32.615,10.8,31.803,27.89,52.323,95.66,190.747,37.565,19.079,181.572,29.985,0.934,9755.0,4202.0,148.0
17,2020-05-18,31.935,1.144,32.403,13.37,34.794,31.715,46.65,96.778,195.799,35.732,21.119,196.763,30.344,1.084,10054.0,4485.0,160.0
18,2020-05-19,32.052,1.283,33.73,17.622,41.469,39.171,49.645,104.925,212.933,33.492,19.133,193.321,30.25,0.936,10554.0,4750.0,166.0
19,2020-05-20,32.267,1.043,32.034,9.845,31.736,26.646,55.509,68.825,168.155,30.159,17.83,206.157,30.41,1.419,11088.0,5192.0,176.0
20,2020-05-21,33.142,1.182,30.17,11.964,32.938,29.286,55.282,60.475,173.554,30.161,18.365,207.058,31.894,1.526,11659.0,5567.0,194.0
21,2020-05-22,34.145,1.404,32.067,19.885,45.952,43.585,47.604,95.21,212.572,32.27,23.687,197.796,33.001,0.902,12319.0,5897.0,208.0
