,Date,AT_avg,CO_avg,NH3_avg,NO_avg,NO2_avg,NOx_avg,Ozone_avg,PM2.5_avg,PM10_avg,RH_avg,SO2_avg,SR_avg,Temp_avg,WS_avg,Confirmed,Recovered,Deceased
0,2020-05-01,25.56,0.289,12.526,3.823,8.269,12.136,37.689,10.319,25.136,83.84,5.884,132.889,25.36,0.643,184.0,0.0,0.0
1,2020-05-02,25.986,0.393,12.479,4.146,10.671,14.859,30.377,17.39,33.143,83.493,5.571,159.488,25.745,0.299,184.0,0.0,0.0
2,2020-05-03,27.456,0.384,13.04,3.943,9.26,13.246,42.18,18.201,33.541,78.171,5.804,160.406,27.645,0.291,635.0,95.0,87.0
3,2020-05-04,28.694,0.376,12.356,3.956,9.603,13.607,32.48,21.603,41.944,81.05,5.231,141.535,28.785,0.344,659.0,109.0,87.0
4,2020-05-05,29.188,0.336,11.314,3.82,8.486,12.347,32.607,17.35,35.88,78.634,5.697,158.489,29.18,0.547,700.0,136.0,92.0
5,2020-05-06,26.992,0.369,11.194,3.836,10.713,14.593,42.813,13.187,28.367,82.117,6.877,160.806,26.955,0.427,754.0,136.0,94.0
6,2020-05-07,28.504,0.314,11.067,3.88,9.18,13.104,43.074,16.306,34.164,76.016,5.913,171.596,28.285,0.494,783.0,149.0,99.0
7,2020-05-08,28.912,0.346,11.469,3.803,8.081,11.933,51.066,16.397,33.856,74.041,6.326,180.708,28.74,0.639,846.0,167.0,107.0
8,2020-05-09,31.314,0.357,11.3,3.831,8.189,12.063,49.111,20.787,44.276,68.216,5.48,197.958,31.45,0.46,911.0,199.0,116.0
9,2020-05-10,30.124,0.409,11.698,4.776,9.206,13.886,41.321,31.131,56.715,75.629,6.911,184.947,28.011,0.618,948.0,208.0,126.0
10,2020-05-11,28.56,0.454,11.721,4.855,11.461,16.223,53.505,30.72,55.274,71.564,7.487,165.366,25.561,0.443,1002.0,252.0,129.0
11,2020-05-12,30.836,0.509,11.411,8.636,15.875,23.767,57.591,41.484,78.319,68.903,11.149,177.024,25.977,0.492,1041.0,292.0,135.0
12,2020-05-13,30.894,0.442,11.462,8.35,13.448,21.047,39.414,38.697,73.454,68.693,10.126,174.088,25.977,0.702,1126.0,341.0,140.0
13,2020-05-14,30.81,0.422,11.301,8.346,12.659,20.264,31.184,34.267,64.803,75.532,8.082,177.55,25.977,0.745,1157.0,386.0,146.0
