,Date,AT_avg,CO_avg,NH3_avg,NO_avg,NO2_avg,NOx_avg,Ozone_avg,PM2.5_avg,PM10_avg,RH_avg,SO2_avg,SR_avg,Temp_avg,WS_avg,Confirmed,Recovered,Deceased
0,2020-05-01,28.598,0.525,19.207,20.349,18.239,32.664,27.311,44.202,90.611,70.914,12.821,263.84,29.713,1.371,7812,1134,296
1,2020-05-02,28.525,0.526,18.539,23.432,17.055,36.063,26.88,43.31,90.132,71.331,12.89,283.161,29.598,1.403,8359,1203,322
2,2020-05-03,28.484,0.524,18.651,20.988,16.921,31.949,27.381,42.83,91.251,71.792,12.996,264.237,29.703,1.379,8800,1230,343
3,2020-05-04,28.427,0.532,18.688,22.899,16.943,33.728,25.384,39.763,89.041,71.465,13.266,294.979,29.608,1.361,9310,1395,361
4,2020-05-05,28.525,0.539,18.777,24.177,19.097,35.19,26.162,39.571,91.188,71.589,14.237,311.669,30.243,1.375,9945,1605,387
5,2020-05-06,28.755,0.542,18.53,23.438,19.137,34.43,26.328,40.02,96.916,72.139,15.488,266.861,29.143,1.321,10714,1694,412
6,2020-05-07,28.396,0.548,18.854,24.732,18.332,35.296,27.058,40.921,94.732,71.829,17.16,301.329,29.763,1.324,11394,1793,437
7,2020-05-08,28.204,0.566,19.263,25.06,21.125,36.556,27.498,41.03,98.725,70.956,19.088,264.319,29.538,1.291,12142,1867,462
8,2020-05-09,28.21,0.581,19.724,24.456,21.493,36.386,27.885,42.034,97.668,70.929,21.137,284.135,29.628,1.351,12864,1867,489
9,2020-05-10,28.305,0.584,18.942,28.527,20.391,39.96,27.226,41.819,95.703,71.093,22.039,275.879,29.643,1.363,13739,2296,508
10,2020-05-11,28.412,0.605,19.187,28.06,18.988,40.795,27.225,42.885,99.646,70.58,21.221,285.356,29.258,1.378,14521,2366,528
11,2020-05-12,28.182,0.588,19.056,29.519,18.673,41.892,26.73,41.676,97.093,71.248,22.616,276.377,29.397,1.366,14947,2513,556
12,2020-05-13,28.447,0.545,19.021,23.249,19.884,37.563,26.619,42.263,97.789,71.53,20.484,264.694,29.397,1.355,15747,2739,596
13,2020-05-14,28.407,0.547,18.766,23.693,19.646,37.755,25.55,42.37,97.93,70.91,15.546,239.311,30.298,1.38,16738,2944,621
14,2020-05-15,28.48,0.548,19.199,23.601,19.83,37.866,26.086,43.335,102.248,70.306,17.692,228.147,29.933,1.42,17671,3125,655
15,2020-05-16,28.5,0.546,18.537,29.63,18.927,41.807,26.386,49.958,122.458,70.948,12.255,241.805,29.888,1.397,18555,3260,696
16,2020-05-17,28.397,0.54,18.542,23.389,18.25,35.873,27.695,49.128,119.007,70.501,13.118,259.076,29.838,1.403,20150,3498,734
17,2020-05-18,28.414,0.507,18.751,23.274,18.153,35.385,27.361,44.568,105.872,70.576,15.526,266.633,29.713,1.547,21335,3730,757
18,2020-05-19,28.382,0.507,18.759,25.328,18.085,37.28,26.468,43.981,102.772,69.748,17.893,291.183,29.653,1.459,22746,4352,800
19,2020-05-20,28.305,0.507,18.922,22.911,18.767,35.735,27.014,43.255,95.206,69.83,13.736,264.33,29.523,1.349,24118,4702,841
20,2020-05-21,28.378,0.505,18.241,20.566,19.13,34.116,27.459,43.886,98.121,70.11,11.546,223.619,29.758,1.34,25500,5769,882
21,2020-05-22,28.416,0.502,17.898,19.978,18.976,33.272,27.673,42.771,93.667,70.373,12.207,242.262,29.858,1.367,27251,6096,909
22,2020-05-23,28.369,0.512,17.924,21.033,18.594,34.532,26.533,43.088,96.645,70.933,11.5,242.648,29.778,1.396,28817,6381,949
23,2020-05-24,28.402,0.498,17.84,20.211,18.134,33.188,26.51,42.017,94.209,71.67,11.135,231.662,29.748,1.412,30542,7083,988
24,2020-05-25,28.418,0.498,17.785,19.774,18.097,32.001,26.676,41.481,97.207,72.02,10.923,221.345,29.888,1.403,31972,7584,1026
25,2020-05-26,28.538,0.498,17.79,21.147,17.277,32.78,26.244,42.243,98.995,71.309,10.795,220.632,29.818,1.429,32974,8013,1065
26,2020-05-27,28.511,0.497,18.365,20.412,17.197,32.512,26.253,41.356,95.766,70.532,10.21,237.719,29.918,1.378,34018,8408,1097
27,2020-05-28,28.569,0.5,18.436,20.456,16.824,32.196,25.987,42.284,95.525,70.182,10.485,230.984,30.143,1.382,35485,8650,1135
28,2020-05-29,28.538,0.5,18.204,20.838,16.988,32.544,25.457,38.605,87.258,71.076,10.961,215.421,30.098,1.349,36932,16008,1173
29,2020-05-30,28.725,0.515,18.002,20.741,16.667,32.305,24.673,39.827,90.843,70.714,10.79,230.727,30.188,1.418,38442,16364,1227
30,2020-05-31,28.805,0.519,17.937,19.783,16.674,31.364,25.041,39.177,90.571,69.739,10.756,228.212,30.433,1.458,39686,16791,1279
31,2020-06-01,27.942,0.544,18.076,21.116,18.868,34.889,26.101,42.881,91.491,72.983,11.031,124.642,29.473,1.287,41099,16985,1319
32,2020-06-02,27.649,0.634,18.761,20.227,22.022,36.818,29.162,45.337,95.251,72.549,11.015,117.87,29.397,1.312,42216,17213,1368
33,2020-06-03,26.47,0.557,19.203,19.694,19.587,33.859,27.997,39.813,83.367,76.496,11.331,98.314,29.397,1.772,43492,17472,1417
34,2020-06-04,26.395,0.572,19.174,20.707,20.335,36.005,25.223,44.467,97.773,77.676,11.572,103.137,26.063,1.333,44931,18096,1465
35,2020-06-05,26.896,0.573,21.936,21.51,21.079,37.142,28.936,40.983,88.973,73.188,12.146,228.889,29.397,1.428,46080,18778,1519
36,2020-06-06,27.276,0.523,21.138,20.867,18.329,34.157,24.63,39.589,87.229,75.272,11.878,209.933,29.018,1.492,47354,19977,1577
37,2020-06-07,27.792,0.525,21.107,21.955,18.769,35.494,24.877,40.174,93.225,72.097,11.248,240.817,28.998,1.402,48774,21190,1638
38,2020-06-08,26.831,0.533,20.896,19.984,19.778,34.681,27.167,39.241,88.827,73.929,11.229,227.637,27.788,1.403,50085,22032,1702
39,2020-06-09,27.726,0.514,20.594,21.146,18.46,34.552,25.94,39.341,87.838,73.515,12.93,233.825,28.703,1.354,51100,22943,1760
40,2020-06-10,28.105,0.517,19.34,22.148,17.627,34.657,24.901,40.005,90.648,73.595,13.425,256.393,29.158,1.367,52667,23694,1857
41,2020-06-11,27.752,0.512,18.9,22.109,17.556,34.597,24.909,39.436,87.611,74.851,13.479,217.453,28.693,1.324,54085,24209,1954
42,2020-06-12,27.695,0.536,19.594,23.532,19.046,37.079,24.304,40.118,83.072,74.112,14.661,175.268,28.778,1.304,55451,25152,2044
43,2020-06-13,27.476,0.537,21.074,23.272,19.14,37.36,24.304,40.006,84.98,75.023,14.251,187.48,28.673,1.345,56831,25947,2113
44,2020-06-14,27.756,0.536,20.423,21.923,19.395,36.277,24.308,39.998,81.538,74.695,12.869,215.081,28.748,1.316,58226,26986,2182
